author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Seth Bisen-Hersh,Will Shortz,Normal,2023-01-02,Monday,1,Daily,20772,,0,100,True,Gold,576
Margaret Seikel,Will Shortz,Normal,2023-01-03,Tuesday,2,Daily,20770,,0,100,True,,1719
Laura Breiman and Tom Bachant,Will Shortz,Normal,2023-01-04,Wednesday,3,Daily,20763,,0,100,True,,1585
Emily Carroll,Will Shortz,Normal,2023-01-05,Thursday,4,Daily,20776,,0,0,False,,
Erica Hsiung Wojcik,Will Shortz,Normal,2023-01-06,Friday,5,Daily,20788,,0,0,False,,
Adam Aaronson,Will Shortz,Normal,2023-01-07,Saturday,6,Daily,20778,,0,0,False,,
Wyna Liu,Will Shortz,Normal,2023-01-08,Sunday,0,Daily,20771,Do You Hear That?,0,0,False,,
Andrea Carla Michaels and Kevin Christian,Will Shortz,Normal,2023-01-09,Monday,1,Daily,20786,,0,100,True,,754
Emily Rourke,Will Shortz,Normal,2023-01-10,Tuesday,2,Daily,20780,,0,100,True,,916
Victor Barocas,Will Shortz,Normal,2023-01-11,Wednesday,3,Daily,20787,,0,100,True,,1394
Grant Thackray,Will Shortz,Normal,2023-01-12,Thursday,4,Daily,20782,,0,0,False,,
Brad Wiegmann,Will Shortz,Normal,2023-01-13,Friday,5,Daily,20781,,0,0,False,,
David Karp,Will Shortz,Normal,2023-01-14,Saturday,6,Daily,20769,,0,0,False,,
Michael Schlossberg,Will Shortz,Normal,2023-01-15,Sunday,0,Daily,20779,Abridged Too Far,0,0,False,,
Michael Paleos,Will Shortz,Normal,2023-01-16,Monday,1,Daily,20793,,0,100,True,Gold,843
Erika Ettin,Will Shortz,Normal,2023-01-17,Tuesday,2,Daily,20807,,0,100,True,Gold,1176
Lindsay McBride,Will Shortz,Normal,2023-01-18,Wednesday,3,Daily,20792,,0,100,True,Gold,1400
Daniel Bodily,Will Shortz,Normal,2023-01-19,Thursday,4,Daily,20797,,0,100,True,,2305
Robert S. Greenfield,Will Shortz,Normal,2023-01-20,Friday,5,Daily,20798,,0,0,False,,
David Distenfeld,Will Shortz,Normal,2023-01-21,Saturday,6,Daily,20789,,0,0,False,,
Garrett Chalfin,Will Shortz,Normal,2023-01-22,Sunday,0,Daily,20808,With Ease,0,0,False,,
Adrian Johnson,Will Shortz,Normal,2023-01-23,Monday,1,Daily,20809,,0,100,True,Gold,604
Aaron M. Rosenberg and Jeff Chen,Will Shortz,Normal,2023-01-24,Tuesday,2,Daily,20813,,0,100,True,Gold,1410
Nancy Serrano-Wu,Will Shortz,Normal,2023-01-25,Wednesday,3,Daily,20815,,0,100,True,,1557
Dan Ziring and Quiara Vasquez,Will Shortz,Normal,2023-01-26,Thursday,4,Daily,20822,,0,0,False,,
Joe Deeney,Will Shortz,Normal,2023-01-27,Friday,5,Daily,20821,,0,0,False,,
Kevin Christian,Will Shortz,Normal,2023-01-28,Saturday,6,Daily,20823,,0,0,False,,
Rich Katz,Will Shortz,Normal,2023-01-29,Sunday,0,Daily,20817,The Final Frontier,0,0,False,,
David Steinberg,Will Shortz,Normal,2023-01-30,Monday,1,Daily,20824,,0,100,True,Gold,863
Erik Agard,Will Shortz,Normal,2023-01-31,Tuesday,2,Daily,20814,,0,100,True,Gold,1058
Dan Caprera,Will Shortz,Normal,2023-02-01,Wednesday,3,Daily,20810,,0,100,True,,1929
Elise Corbin,Will Shortz,Normal,2023-02-02,Thursday,4,Daily,20827,,0,0,False,,
Barbara Lin,Will Shortz,Normal,2023-02-03,Friday,5,Daily,20819,,0,0,False,,
Kate Hawkins,Will Shortz,Normal,2023-02-04,Saturday,6,Daily,20839,,0,0,False,,
Jeremy Newton,Will Shortz,Normal,2023-02-05,Sunday,0,Daily,20834,Hollywood Remakes,0,0,False,,
Taylor Johnson,Will Shortz,Normal,2023-02-06,Monday,1,Daily,20678,,0,100,True,Gold,574
Ellen Leuschner,Will Shortz,Normal,2023-02-07,Tuesday,2,Daily,20831,,0,100,True,Gold,953
Chase Dittrich,Will Shortz,Normal,2023-02-08,Wednesday,3,Daily,20836,,0,0,False,,7
Alex Rosen,Will Shortz,Normal,2023-02-09,Thursday,4,Daily,20835,,0,0,False,,
Kavin Pawittranon and Nijah Morris,Will Shortz,Normal,2023-02-10,Friday,5,Daily,20841,,0,0,False,,
Sam Ezersky,Will Shortz,Normal,2023-02-11,Saturday,6,Daily,20840,,0,0,False,,
Christina Iverson and Samuel A. Donaldson,Will Shortz,Normal,2023-02-12,Sunday,0,Daily,20854,Cheap Thrills,0,0,False,,
Eric Rollfing,Will Shortz,Normal,2023-02-13,Monday,1,Daily,20842,,0,100,True,,1414
Ella Dershowitz,Will Shortz,Normal,2023-02-14,Tuesday,2,Daily,20845,,0,100,True,,994
Sean Ziebarth,Will Shortz,Normal,2023-02-15,Wednesday,3,Daily,20855,,0,0,False,,
Kevin Patterson,Will Shortz,Normal,2023-02-16,Thursday,4,Daily,20850,,0,0,False,,
Jem Burch,Will Shortz,Normal,2023-02-17,Friday,5,Daily,20852,,0,0,False,,
Kameron Austin Collins,Will Shortz,Normal,2023-02-18,Saturday,6,Daily,20862,,0,0,False,,
Rebecca Goldstein,Will Shortz,Normal,2023-02-19,Sunday,0,Daily,20856,Simile Irresistible,0,0,False,,
Emily Carroll,Will Shortz,Normal,2023-02-20,Monday,1,Daily,20858,,0,100,True,,1001
